Model Yr;Mfr Name;Division;Carline;Trans as listed in FE Guide (derived from col AA thru AF);City Unadj FE - Conventional Fuel;Fuel Usage Desc - Conventional Fuel
2010;GM;GMC;CANYON CAB CHASSIS INC 2WD;Auto(A4);18,7999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CREW CAB 2WD;Auto(A4);23,0999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CREW CAB 2WD;Manual(M5);23;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CREW CAB 2WD;Auto(A4);20,7999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CREW CAB 2WD;Auto(A4);18,0999;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;FRONTIER 2WD;Auto(A5);20,8;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;FRONTIER 2WD;Manual(M5);24,4422;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;FRONTIER 2WD;Auto(A5);18,2414;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;FRONTIER 2WD;Manual(M6);19,3789;Gasoline (Regular Unleaded Recommended)
2010;Nissan;SUZUKI;EQUATOR 2WD;Auto(A5);20,8;Gasoline (Regular Unleaded Recommended)
2010;Nissan;SUZUKI;EQUATOR 2WD;Manual(M5);24,5;Gasoline (Regular Unleaded Recommended)
2010;Nissan;SUZUKI;EQUATOR 2WD;Auto(A5);18,5262;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 2WD;Auto(A4);23,9868;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 2WD;Manual(M5);25,507;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 2WD;Auto(A5);20,7;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 2WD;Manual(M6);18,1;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 4WD;Auto(A4);21,7;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 4WD;Manual(M5);22,2999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 4WD;Auto(A4);20,8697;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO 4WD;Auto(A4);17,0999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CAB CHASSIS INC 4WD;Auto(A4);19,5999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CREW CAB 4WD;Auto(A4);19,5999;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;COLORADO CREW CAB 4WD;Auto(A4);17,0999;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Ford Division;RANGER 4WD;Manual(M5);18,7;Gasoline (Regular Unleaded Recommended)
2010;FOMOCO;Ford Division;RANGER 4WD;Auto(A5);17,2884;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 4WD;Auto(A4);21,7;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 4WD;Manual(M5);22,2999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 4WD;Auto(A4);20,8495;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON 4WD;Auto(A4);17,0999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CAB CHASSIS INC 4WD;Auto(A4);19,5999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CREW CAB 4WD;Auto(A4);19,5999;Gasoline (Regular Unleaded Recommended)
2010;GM;GMC;CANYON CREW CAB 4WD;Auto(A4);17,0999;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;FRONTIER 4WD;Manual(M6);19,0673;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;FRONTIER 4WD;Auto(A5);17,8691;Gasoline (Regular Unleaded Recommended)
2010;Nissan;SUZUKI;EQUATOR 4WD;Auto(A5);17,9951;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 4WD;Manual(M5);21,7;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 4WD;Auto(A5);19,6;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;TACOMA 4WD;Manual(M6);17,4;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;C15 SILVERADO 2WD;Auto(A4);18,6705;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;C15 SILVERADO 2WD;Auto(A4);17,0719;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;C15 SILVERADO 2WD;Auto(A6);18,3561;Gasoline (Regular Unleaded Recommended)
2010;GM;Chevrolet;C15 SILVERADO 2WD;Auto(A6);15,4;Gasoline (Regular Unleaded Recommended)
